title,relation,tail,title,article
amount receive way fine penalty sanction accrue interest income generate amount receive way fine,become,subject to an appeal before the court of justice of the european union still,TITLE IV BUDGET IMPLEMENTATION,"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions "
amount,refer,to in paragraph 1,TITLE IV BUDGET IMPLEMENTATION,"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions "
exhaustion legal remedy legal remedy,occur,where after 1 september of the current financial year,TITLE IV BUDGET IMPLEMENTATION,"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions "
amount refer,enter,under duly justified exceptional circumstances or where the exhaustion of all legal remedies all legal remedies occurs after 1 september of the current financial year in the budget in the following financial year,TITLE IV BUDGET IMPLEMENTATION,"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions "
amount return entity pay amount,refer,unionthe european union shall not be entered in the budget following a judgment of the court of justice of the european,TITLE IV BUDGET IMPLEMENTATION,"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions "
paragraph 1,apply,to decisions on clearance of accounts or financial corrections,TITLE IV BUDGET IMPLEMENTATION,"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions "
action,bring,where before the court of justice of the european union against a decision of a union institution imposing a fine other penalty or sanction under the tfeu or the euratom treaty and,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
legal remedy exhausted debtor shall provisionally pay amount concerned bank account designate accounting officer commission lodge financial guarantee acceptable accounting officer commissionthe commission,exhaust,until such time as,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
debtor,pay,the amounts concerned on the bank account designated by the accounting officer of the commission or lodge a financial guarantee acceptable to the accounting officer of the commissionthe commission provisionally,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
financial guarantee acceptable accounting officer commission,be,independent of the obligation to pay the fine other penalty or sanction,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
financial guarantee acceptable accounting officer commission,be,enforceable on demand,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
financial guarantee acceptable accounting officer commission,cover,the claim as to principal and the interest due as specified in article 99(4,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
interest,specify,in article 99(4,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
fine penalty sanction,confirm,after the exhaustion of all legal remedies and where by the court of justice of the european unionthe european union,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
decision impose fine penalty sanction,become,subject to an appeal where no longer,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
provisionally collect amount,enter,in the budget in accordance with article 107(2) where a financial guarantee has been lodged a financial guarantee,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
financial guarantee,lodge,where,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
fine penalty sanction,enter,in the budget,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
fine penalty sanction,increase,where by the court of justice of the european of the first subparagraph of this paragraph,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
fine penalty sanction,apply,to the amounts of the original decision of the union institution,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
accounting officer commission,collect,the amount corresponding to the increase and the interest due as specified in article 99(4) which shall be entered in the budget,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
legal remedy,exhaust,after,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
fine penalty sanction,cancel,where,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
relevant thereof include return,repay,to the third party concerned l 19380   where a financial guarantee has been lodged,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
financial guarantee,lodge,where,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
financial guarantee,release,accordingly,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
overall return provisionally collect,be,negative where,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
loss incur,deduct,in the cases referred to in point of the first subparagraph where the overall return on the provisionally collected amount is negative from the amount to be repaid,TITLE IV BUDGET IMPLEMENTATION,"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions "
interest rate,be,the rate applied by the european central bank to the european central bank principal refinancing operations as published in the c series of the official journal of the european union on the first calendar day of each month without prejudice to articles 99(2) and 116(5) and for cases other than fines other penalties and sanctions as referred to in articles 107 and 108 when an amount is to be reimbursed following a judgment of the court of justice of the european union or as a result of an amicable settlement,TITLE IV BUDGET IMPLEMENTATION,Article 109  Compensatory interests 
interest rate,be,negative,TITLE IV BUDGET IMPLEMENTATION,Article 109  Compensatory interests 
interest,run,from the date of payment of the amount to be reimbursed until the date at which the reimbursement is due,TITLE IV BUDGET IMPLEMENTATION,Article 109  Compensatory interests 
reimbursement,be,due at which,TITLE IV BUDGET IMPLEMENTATION,Article 109  Compensatory interests 
overall interest rate,be,negative where,TITLE IV BUDGET IMPLEMENTATION,Article 109  Compensatory interests 
budgetary commitment,precede,by a financing decision adopted by the union institution or by the authority to which powers have been delegated by the union institution,TITLE IV BUDGET IMPLEMENTATION,Article 110  Financing decisions 
